PAN_PRI_PRD,MORENA_PVEM_PT,PART
0.243190661,0.550583658,0.525562372
0.462334675,0.345025877,0.628705712
0.455519829,0.363344051,0.681021898
0.309428951,0.439575033,0.528050491
0.450789793,0.343863913,0.616017964
0.66442953,0.215723873,0.696726787
0.505649718,0.316384181,0.708708709
0.51897019,0.317073171,0.713733075
0.354404145,0.426943005,0.616219668
0.404935502,0.385305665,0.660859896
0.372998702,0.399394202,0.603551841
0.389807163,0.376033058,0.679775281
0.308123249,0.488795518,0.540499621
0.476775956,0.352459016,0.643799472
0.666331658,0.198994975,0.679180887
0.372505543,0.403547672,0.654571843
0.323014805,0.452220727,0.540756914
0.341397849,0.451612903,0.568228106
0.272089762,0.492286115,0.528539659
0.288617886,0.49898374,0.588516746
0.327659574,0.476595745,0.603337612
0.272435897,0.508012821,0.544027899
0.308788599,0.477434679,0.533586819
0.288329519,0.47597254,0.528735632
0.337536372,0.475266731,0.577591036
0.23988006,0.51874063,0.479511143
0.227793696,0.545845272,0.452952628
0.237647059,0.563921569,0.383920506
0.220412595,0.570032573,0.446653734
0.24028777,0.548201439,0.455140799
0.219827586,0.596264368,0.530487805
0.326440177,0.35745938,0.507876969
0.334620335,0.462033462,0.588636364
0.363259669,0.42679558,0.606873428
0.390350877,0.416666667,0.570713392
0.346774194,0.41733871,0.566857143
0.304964539,0.44822695,0.482546201
0.176908752,0.636871508,0.458582408
0.162327718,0.640122511,0.484062268
0.191489362,0.578014184,0.513661202
0.211367673,0.587921847,0.466445733
0.388261851,0.379232506,0.657757981
0.332046332,0.434362934,0.581369248
0.31408776,0.468822171,0.542606516
0.33044733,0.454545455,0.612190813
0.454121306,0.371695179,0.696641387
0.711656442,0.196319018,0.735891648
0.323586745,0.43079922,0.636476427
0.596256684,0.248663102,0.706994329
0.528985507,0.270531401,0.679802956
0.466346154,0.367788462,0.711111111
0.583003953,0.290513834,0.684709066
0.584710744,0.225206612,0.679775281
0.421787709,0.399441341,0.61406518
0.466003317,0.343283582,0.701162791
0.410635155,0.413589365,0.609360936
0.400479616,0.376498801,0.58649789
0.277324633,0.505709625,0.537719298
0.204104903,0.579247434,0.494920993
0.262068966,0.528275862,0.530746706
0.161683278,0.625692137,0.475263158
0.261356155,0.515470704,0.432763533
0.366697848,0.455565949,0.61827646
0.505102041,0.336734694,0.724137931
0.255401006,0.527670909,0.483612423
0.509240246,0.289527721,0.708879185
0.635974304,0.207708779,0.73659306
0.553571429,0.25297619,0.665346535
0.580121704,0.251521298,0.672578445
0.519138756,0.303827751,0.654147105
0.461309524,0.34672619,0.675376884
0.633257403,0.20501139,0.64844904
0.624423963,0.241935484,0.71973466
0.53271028,0.343457944,0.694805195
0.6545961,0.206128134,0.65630713
0.636363636,0.227272727,0.715753425
0.814159292,0.120943953,0.807142857
0.705627706,0.177489177,0.734499205
0.44056242,0.365999148,0.672107675
0.310126582,0.503164557,0.508038585
0.302670623,0.43620178,0.494860499
0.317817014,0.460674157,0.494444444
0.329835082,0.427286357,0.52109375
0.370415648,0.407090465,0.57122905
0.378345499,0.413625304,0.62652439
0.567010309,0.231958763,0.734848485
0.418045113,0.384962406,0.625587959
0.548991354,0.275936599,0.786848073
0.5,0.303867403,0.677902622
0.527675277,0.269372694,0.656174334
0.502475248,0.311881188,0.676716918
0.552901024,0.303754266,0.745547074
0.62295082,0.232786885,0.800524934
0.74912892,0.160278746,0.715710723
0.679245283,0.211901306,0.720711297
0.728955224,0.170149254,0.726051149
0.630243902,0.215609756,0.734240688
0.605714286,0.243809524,0.720164609
0.72,0.14,0.767918089
0.501618123,0.343042071,0.624242424
0.494117647,0.317647059,0.688816856
0.581632653,0.261904762,0.675862069
0.411764706,0.411764706,0.603738318
0.339015152,0.462121212,0.628571429
0.389261745,0.406040268,0.683486239
0.338697318,0.434482759,0.600552232
0.291358025,0.518518519,0.581478823
0.384151593,0.413436693,0.635815991
0.220806794,0.537154989,0.486570248
0.244343891,0.542986425,0.497187852
0.267990074,0.491315136,0.438281675
0.218619247,0.524058577,0.434940855
0.244491827,0.534470505,0.514630578
0.307007786,0.473859844,0.600133511
0.277867528,0.452342488,0.609852217
0.518808777,0.315047022,0.6875
0.278846154,0.492307692,0.548523207
0.360839161,0.446153846,0.572
0.420833333,0.404166667,0.685714286
0.29584121,0.503780718,0.621987066
0.389041096,0.443835616,0.550527903
0.361858191,0.378973105,0.636080871
0.447976879,0.378612717,0.687872763
0.411111111,0.388888889,0.649350649
0.412587413,0.372960373,0.634615385
0.401554404,0.437823834,0.692998205
0.3988006,0.394302849,0.655850541
0.458281445,0.353673724,0.65497553
0.469158879,0.340186916,0.679796696
